      0: system.pc.south_bridge.cmos.rtc: Real-time clock set to Sun Jan  1 00:00:00 2012
  3635730244685   5        Seq                Done       >       [0x111d3f8, line 0x111d3c0] 2 cycles
  3635730244685   5    L0Cache              Ifetch      S>S      [0x111d3c0, line 0x111d3c0] 
  3635730245070   6        Seq               Begin       >       [0x111dd98, line 0x111dd80] IFETCH
  3635730245070   4        Seq               Begin       >       [0x111d9f0, line 0x111d9c0] IFETCH
  3635730245070   5        Seq               Begin       >       [0x111d400, line 0x111d400] IFETCH
  3635730245070   1        Seq                Done       >       [0x23559ad00, line 0x23559ad00] 2 cycles
  3635730245070   1    L0Cache               Store      M>M      [0x23559ad00, line 0x23559ad00] 
  3635730245070   2        Seq                Done       >       [0x107a658, line 0x107a640] 2 cycles
  3635730245070   2    L0Cache              Ifetch      S>S      [0x107a640, line 0x107a640] 
  3635730245455   1        Seq               Begin       >       [0x23559ad00, line 0x23559ad00] ST
  3635730245455   2        Seq               Begin       >       [0x107a660, line 0x107a640] IFETCH
  3635730245840   5        Seq                Done       >       [0x111d400, line 0x111d400] 2 cycles
  3635730245840   5    L0Cache              Ifetch      S>S      [0x111d400, line 0x111d400] 
  3635730245840   4        Seq                Done       >       [0x111d9f0, line 0x111d9c0] 2 cycles
  3635730245840   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730245840   6        Seq                Done       >       [0x111dd98, line 0x111dd80] 2 cycles
  3635730245840   6    L0Cache              Ifetch      S>S      [0x111dd80, line 0x111dd80] 
  3635730246225   5        Seq               Begin       >       [0x111d400, line 0x111d400] IFETCH
  3635730246225   4        Seq               Begin       >       [0x111d9f0, line 0x111d9c0] IFETCH
  3635730246225   6        Seq               Begin       >       [0x111dd98, line 0x111dd80] IFETCH
  3635730246225   2        Seq                Done       >       [0x107a660, line 0x107a640] 2 cycles
  3635730246225   2    L0Cache              Ifetch      S>S      [0x107a640, line 0x107a640] 
  3635730246225   1        Seq                Done       >       [0x23559ad00, line 0x23559ad00] 2 cycles
  3635730246225   1    L0Cache               Store      M>M      [0x23559ad00, line 0x23559ad00] 
  3635730246610   2        Seq               Begin       >       [0x235cac470, line 0x235cac440] ST
  3635730246610   1        Seq               Begin       >       [0x111dec8, line 0x111dec0] IFETCH
  3635730246995   6        Seq                Done       >       [0x111dd98, line 0x111dd80] 2 cycles
  3635730246995   6    L0Cache              Ifetch      S>S      [0x111dd80, line 0x111dd80] 
  3635730246995   4        Seq                Done       >       [0x111d9f0, line 0x111d9c0] 2 cycles
  3635730246995   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
  3635730246995   5        Seq                Done       >       [0x111d400, line 0x111d400] 2 cycles
  3635730246995   5    L0Cache              Ifetch      S>S      [0x111d400, line 0x111d400] 
  3635730247380   6        Seq               Begin       >       [0x111dda0, line 0x111dd80] IFETCH
  3635730247380   4        Seq               Begin       >       [0x111d9f0, line 0x111d9c0] IFETCH
  3635730247380   5        Seq               Begin       >       [0x111d400, line 0x111d400] IFETCH
  3635730247380   1        Seq                Done       >       [0x111dec8, line 0x111dec0] 2 cycles
  3635730247380   1    L0Cache              Ifetch      S>S      [0x111dec0, line 0x111dec0] 
  3635730247380   2        Seq                Done       >       [0x235cac470, line 0x235cac440] 2 cycles
  3635730247380   2    L0Cache               Store      M>M      [0x235cac440, line 0x235cac440] 
  3635730247765   1        Seq               Begin       >       [0x111dec8, line 0x111dec0] IFETCH
  3635730247765   2        Seq               Begin       >       [0x235cac470, line 0x235cac440] ST
  3635730248000   3    L1Cache                Data     IS>S      [0x2356b0340, line 0x2356b0340] 
  3635730248150   5        Seq                Done       >       [0x111d400, line 0x111d400] 2 cycles
  3635730248150   5    L0Cache              Ifetch      S>S      [0x111d400, line 0x111d400] 
  3635730248150   4        Seq                Done       >       [0x111d9f0, line 0x111d9c0] 2 cycles
  3635730248150   4    L0Cache              Ifetch      S>S      [0x111d9c0, line 0x111d9c0] 
